Silent_Woods
Exploring_The_Forest.ogg
Assets/Levels/3 - Mystic Forest.txt

Player 6 5 64 64 10 15 20 0.5 MELEE

Tile LevelGoal 107 2
Tile LevelGoal 107 3
Tile LevelGoal 107 4
Tile LevelGoal 107 5
Tile LevelGoal 107 6
Tile LevelGoal 107 7
Tile TileGrass 18 1
Tile TileGrassCenter -1 0
Tile TileGrassCenter 0 0
Tile TileGrassCenter 1 1
Tile TileGrassCenter 0 1
Tile TileGrassCenter -1 1
Tile TileGrassCenter -1 2
Tile TileGrassCenter 0 2
Tile TileGrassCenter 2 1
Tile TileGrassCenter 2 2
Tile TileGrassCenter 1 2
Tile TileGrassCenter 1 3
Tile TileGrassCenter 0 4
Tile TileGrassCenter 0 5
Tile TileGrassCenter 0 6
Tile TileGrassCenter 1 7
Tile TileGrassCenter 1 6
Tile TileGrassCenter 2 7
Tile TileGrassCenter 0 7
Tile TileGrassCenter 0 8
Tile TileGrassCenter 1 8
Tile TileGrassCenter 2 8
Tile TileGrassCenter 3 9
Tile TileGrassCenter 2 9
Tile TileGrassCenter 1 9
Tile TileGrassCenter 0 9
Tile TileGrassCenter -1 9
Tile TileGrassCenter -1 8
Tile TileGrassCenter -1 5
Tile TileGrassCenter -1 4
Tile TileGrassCenter -1 3
Tile TileGrassCenter 0 3
Tile TileGrassCenter -1 6
Tile TileGrassCenter -1 7
Tile TileMud 3 0
Tile TileMud 2 0
Tile TileMud 1 0
Tile TileMud 4 0
Tile TileMud 5 0
Tile TileMud 6 0
Tile TileMud 7 0
Tile TileMud 9 0
Tile TileMud 8 0
Tile TileMud 10 0
Tile TileMud 11 0
Tile TileMud 12 0
Tile TileMud 13 0
Tile TileMud 14 0
Tile TileMud 15 0
Tile TileMud 16 0
Tile TileMud 17 0
Tile TileMud 19 0
Tile TileMud 21 0
Tile TileMud 18 0
Tile TileMud 20 0
Tile TileMud 22 0
Tile TileMud 23 0
Tile TileMud 24 0
Tile TileMud 26 0
Tile TileMud 25 0
Tile TileMud 27 0
Tile TileMud 28 0
Tile TileMud 29 0
Tile TileMud 30 0
Tile TileMud 31 0
Tile TileMud 34 0
Tile TileMud 32 0
Tile TileMud 33 0
Tile TileMud 35 0
Tile TileMud 36 0
Tile TileMud 37 0
Tile TileMud 38 0
Tile TileMud 40 0
Tile TileMud 39 0
Tile TileMud 41 0
Tile TileMud 43 0
Tile TileMud 42 0
Tile TileMud 44 0
Tile TileMud 46 0
Tile TileMud 45 0
Tile TileMud 47 0
Tile TileMud 48 0
Tile TileMud 49 0
Tile TileMud 50 0
Tile TileMud 52 0
Tile TileMud 51 0
Tile TileMud 53 0
Tile TileMud 55 0
Tile TileMud 54 0
Tile TileMud 56 0
Tile TileMud 58 0
Tile TileMud 57 0
Tile TileMud 59 0
Tile TileMud 60 0
Tile TileMud 62 0
Tile TileMud 61 0
Tile TileMud 64 0
Tile TileMud 63 0
Tile TileMud 65 0
Tile TileMud 66 0
Tile TileMud 68 0
Tile TileMud 67 0
Tile TileMud 69 0
Tile TileMud 70 0
Tile TileMud 71 0
Tile TileMud 72 0
Tile TileMud 74 0
Tile TileMud 73 0
Tile TileMud 75 0
Tile TileMud 76 0
Tile TileMud 77 0
Tile TileMud 78 0
Tile TileMud 79 0
Tile TileMud 80 0
Tile TileMud 81 0
Tile TileMud 82 0
Tile TileMud 83 0
Tile TileMud 84 0
Tile TileMud 86 0
Tile TileMud 85 0
Tile TileMud 87 0
Tile TileMud 88 0
Tile TileMud 89 0
Tile TileMud 91 0
Tile TileMud 90 0
Tile TileMud 92 0
Tile TileMud 93 0
Tile TileMud 94 0
Tile TileMud 95 0
Tile TileMud 96 0
Tile TileMud 97 0
Tile TileMud 98 0
Tile TileMud 99 0
Tile TileMud 100 0
Tile TileMud 101 0
Tile TileMud 102 0
Tile TileMud 103 0
Tile TileMud 104 0
Tile TileMud 105 0
Tile TileMud 106 0
Tile TileMud 107 0
Tile TileMud 108 0
Tile TileGrass 112 1
Tile TileGrass 113 1
Tile TileGrass 114 2
Tile TileGrass 115 3
Tile TileGrass 116 4
Tile TileMud 112 0
Tile TileMud 113 0
Tile TileMud 114 1
Tile TileMud 115 1
Tile TileMud 115 0
Tile TileMud 114 0
Tile TileMud 115 2
Tile TileMud 116 2
Tile TileMud 116 3
Tile TileMud 116 1
Tile TileMud 116 0
Tile TileGrass 111 1
Tile TileGrass 110 1
Tile TileGrass 109 1
Tile TileGrass 107 1
Tile TileGrass 108 1
Tile TileGrass 106 1
Tile TileGrass 105 1
Tile TileGrass 104 1
Tile TileGrass 103 1
Tile TileGrass 102 1
Tile TileMud 109 0
Tile TileMud 110 0
Tile TileMud 111 0
Tile TileGrass 101 1
Tile TileGrass 100 1
Tile TileGrass 98 1
Tile TileGrass 99 1
Tile TileGrass 96 1
Tile TileGrass 97 1
Tile TileGrass 95 1
Tile TileGrass 93 1
Tile TileGrass 94 1
Tile TileGrass 77 1
Tile TileGrass 75 1
Tile TileGrass 76 1
Tile TileGrass 74 1
Tile TileGrass 73 1
Tile TileGrass 71 1
Tile TileGrass 72 1
Tile TileGrass 70 1
Tile TileGrass 69 1
Tile TileGrass 67 1
Tile TileGrass 68 1
Tile TileGrass 66 1
Tile TileGrass 65 1
Tile TileGrass 64 1
Tile TileGrass 63 1
Tile TileGrass 62 1
Tile TileGrass 60 1
Tile TileGrass 61 1
Tile TileGrass 58 1
Tile TileGrass 59 1
Tile TileGrass 57 1
Tile TileGrass 56 1
Tile TileGrass 53 1
Tile TileGrass 55 1
Tile TileGrass 54 1
Tile TileGrass 52 1
Tile TileGrass 51 1
Tile TileGrass 49 1
Tile TileGrass 50 1
Tile TileGrass 36 1
Tile TileGrass 34 1
Tile TileGrass 35 1
Tile TileGrass 33 1
Tile TileGrass 32 1
Tile TileGrass 31 1
Tile TileGrass 30 1
Tile TileGrass 29 1
Tile TileGrass 28 1
Tile TileGrass 23 1
Tile TileGrass 22 1
Tile TileGrass 20 1
Tile TileGrass 21 1
Tile TileGrass 19 1
Tile LevelGoal 107 8
Tile TileGrassCenter 4 10
Tile TileGrassCenter 3 10
Tile TileGrassCenter 2 10
Tile TileGrassCenter 1 10
Tile TileGrassCenter 0 10
Tile TileGrassCenter -1 10
Tile Boomerang 10 5
Tile Slime 22 2
Tile Slime 29 2
Tile Slime 40 5
Tile Mushroom 49 2
Tile Slime 57 2
Tile Slime 63 9
Tile Mushroom 69 2
Tile Slime 76 2
Tile Box 73 2
Tile Box 53 2
Tile Box 36 2
Tile TileGrassLeft 30 7
Tile TileGrassMid 31 7
Tile TileGrassRight 32 7
Tile ManaFlower 31 6
Tile TileGrassLeft 69 7
Tile TileGrassMid 70 7
Tile TileGrassRight 71 7
Tile ManaFlower 64 6
Tile Mushroom 82 5
Tile Mushroom 95 2
Tile Slime 86 2
Tile Box 93 2
Tile Box 103 2
Tile TileGrassCenter 5 11
Tile TileGrassCenter 4 11
Tile TileGrassCenter 2 11
Tile TileGrassCenter 3 11
Tile TileGrassCenter 1 11
Tile TileGrassCenter 0 11
Tile TileGrassCenter -1 11
Tile TileGrass 27 2
Tile TileGrass 25 3
Tile TileGrass 24 2
Tile TileMud 25 2
Tile TileMud 26 2
Tile TileGrass 26 3
Tile TileMud 24 1
Tile TileMud 25 1
Tile TileMud 27 1
Tile TileMud 26 1
Tile TileMud 38 2
Tile TileMud 39 2
Tile TileMud 40 3
Tile TileMud 39 3
Tile TileMud 40 2
Tile TileMud 41 3
Tile TileMud 42 2
Tile TileMud 42 3
Tile TileMud 41 2
Tile TileMud 43 3
Tile TileMud 43 2
Tile TileMud 44 2
Tile TileMud 45 2
Tile TileMud 46 2
Tile TileMud 47 2
Tile TileMud 45 3
Tile TileMud 44 3
Tile TileGrass 37 2
Tile TileGrass 38 3
Tile TileGrass 39 4
Tile TileGrass 42 4
Tile TileGrass 43 4
Tile TileGrass 44 4
Tile TileGrass 45 4
Tile TileGrass 47 3
Tile TileGrass 46 3
