Mysterious_Forest
Mysteriously_Magical.ogg
Assets/Levels/4 - Rotting Cave.txt

Player 6 2 64 64 10 15 20 0.5 MELEE

Tile TileGrass 6 1
Tile TileGrass 5 1
Tile TileGrass 4 1
Tile TileGrass 7 1
Tile TileGrass 8 1
Tile TileGrass 9 1
Tile TileGrass 10 1
Tile TileGrass 11 1
Tile TileGrass 12 1
Tile TileMud 5 0
Tile TileMud 5 -1
Tile TileMud 6 0
Tile TileMud 6 -1
Tile TileMud 6 -2
Tile TileMud 7 -2
Tile TileMud 7 0
Tile TileMud 7 -1
Tile TileMud 8 0
Tile TileMud 8 -1
Tile TileMud 8 -2
Tile TileMud 9 0
Tile TileMud 9 -1
Tile TileMud 9 -2
Tile TileMud 10 -1
Tile TileMud 10 0
Tile TileMud 11 -1
Tile TileMud 11 0
Tile TileMud 12 0
Tile TileGrassLeft 15 1
Tile TileGrassMid 16 1
Tile TileGrassMid 17 1
Tile TileGrassMid 18 1
Tile TileGrassMid 19 1
Tile TileGrassLeft 45 1
Tile TileGrassMid 46 1
Tile TileGrassMid 47 1
Tile TileGrassMid 48 1
Tile TileGrassMid 49 1
Tile TileGrassMid 50 1
Tile TileGrassMid 52 1
Tile TileGrassMid 51 1
Tile TileGrassRight 53 1
Tile TileGrassLeft 91 2
Tile TileGrassMid 92 2
Tile TileGrassMid 93 2
Tile TileGrassMid 94 2
Tile TileGrassMid 95 2
Tile TileGrassMid 96 2
Tile TileGrassMid 97 2
Tile TileGrassRight 98 2
Tile TileGrassLeft 136 4
Tile TileGrassLeft 137 4
Tile TileGrassMid 138 4
Tile TileGrassMid 139 4
Tile TileGrassMid 140 4
Tile TileGrassMid 141 4
Tile TileGrassRight 142 4
Tile TileMud 174 0
Tile TileMud 175 0
Tile TileGrassCenter 183 1
Tile TileGrassCenter 183 2
Tile TileGrassCenter 182 2
Tile TileGrassCenter 182 3
Tile TileGrassCenter 181 3
Tile TileGrassCenter 183 3
Tile LevelGoal 174 4
Tile LevelGoal 174 5
Tile LevelGoal 174 6
Tile LevelGoal 174 7
Tile LevelGoal 174 8
Tile LevelGoal 174 9
Tile TileGrassLeft 34 5
Tile TileGrassMid 35 5
Tile TileGrassRight 36 5
Tile TileGrassLeft 65 1
Tile TileGrassMid 66 1
Tile TileGrassMid 80 6
Tile TileGrassRight 81 6
Tile TileGrassLeft 115 2
Tile TileGrass 173 3
Tile TileGrass 175 3
Tile TileGrass 174 3
Tile TileMud 173 2
Tile TileMud 174 2
Tile TileMud 175 2
Tile TileMud 175 1
Tile TileMud 174 1
Tile TileMud 176 1
Tile TileMud 176 2
Tile TileMud 177 1
Tile TileMud 176 0
Tile TileMud 177 0
Tile TileMud 178 0
Tile TileMud 179 0
Tile TileGrassCenter 182 4
Tile TileGrassCenter 183 4
Tile TileGrassCenter 183 5
Tile TileGrassCenter 184 5
Tile TileGrassCenter 185 6
Tile TileGrassCenter 184 6
Tile TileGrassCenter 185 5
Tile TileGrassCenter 185 7
Tile TileGrassCenter 186 7
Tile TileGrassCenter 186 6
Tile TileGrassCenter 186 5
Tile TileGrassCenter 187 7
Tile TileGrassCenter 188 6
Tile TileGrassCenter 187 8
Tile TileGrassCenter 186 8
Tile TileGrassCenter 187 6
Tile TileGrassCenter 188 7
Tile TileGrassCenter 188 8
Tile TileGrassCenter 187 5
Tile TileGrassCenter 188 5
Tile TileGrassCenter 184 3
Tile TileGrassCenter 184 1
Tile TileGrassCenter 184 2
Tile TileGrassCenter 184 4
Tile TileGrassCenter 186 4
Tile TileGrassCenter 187 4
Tile TileGrassCenter 185 4
Tile TileGrassCenter 188 4
Tile TileGrassCenter 188 3
Tile TileGrassCenter 187 3
Tile TileGrassCenter 186 3
Tile TileGrassCenter 185 3
Tile TileGrassCenter 185 2
Tile TileGrassCenter 185 1
Tile TileGrassCenter 186 0
Tile TileGrassCenter 186 1
Tile TileGrassCenter 186 2
Tile TileGrassCenter 187 2
Tile TileGrassCenter 187 1
Tile TileGrassCenter 187 0
Tile TileGrassCenter 188 0
Tile TileGrassCenter 188 1
Tile TileGrassCenter 188 2
Tile LevelGoal 174 10
Tile Box 11 2
Tile Box 20 2
Tile TileGrassMid 20 1
Tile TileGrassMid 21 1
Tile TileGrassMid 22 1
Tile TileGrassMid 23 1
Tile TileGrassRight 24 1
Tile Slime 22 2
Tile TileGrassMid 35 9
Tile TileGrassLeft 34 9
Tile TileGrassRight 36 9
Tile ManaFlower 35 8
Tile Slime 47 2
Tile Slime 52 2
Tile Box 49 2
Tile Box 66 2
Tile TileGrassMid 67 1
Tile TileGrassMid 68 1
Tile TileGrassMid 69 1
Tile TileGrassMid 70 1
Tile TileGrassMid 72 1
Tile TileGrassMid 73 1
Tile TileGrassMid 71 1
Tile TileGrassMid 74 1
Tile TileGrassMid 75 1
Tile TileGrassMid 77 1
Tile TileGrassMid 76 1
Tile TileGrassRight 78 1
Tile Mushroom 74 2
Tile TileGrassMid 79 6
Tile TileGrassMid 78 6
Tile TileGrassMid 77 6
Tile TileGrassLeft 76 6
Tile ManaFlower 77 5
Tile Box 92 3
Tile Slime 96 3
Tile TileGrassMid 116 2
Tile TileGrassMid 117 2
Tile TileGrassMid 118 2
Tile TileGrassMid 119 2
Tile TileGrassMid 120 2
Tile TileGrassMid 121 2
Tile TileGrassMid 122 2
Tile TileGrassMid 123 2
Tile TileGrassRight 124 2
Tile Box 123 3
Tile Slime 120 3
Tile Box 141 5
Tile TileGrassMid 139 8
Tile TileGrassLeft 138 8
Tile TileGrassRight 140 8
