Dark_Cave
Darkness_Abound.ogg
Assets/Levels/Boss - Undead Mystic.txt

Player 6 2 64 64 10 15 20 0.5 MELEE

Tile LevelGoal 107 2
Tile LevelGoal 107 3
Tile LevelGoal 107 4
Tile LevelGoal 107 5
Tile LevelGoal 107 6
Tile LevelGoal 107 7
Tile TileGrassCenter 3 1
Tile TileGrassCenter 4 1
Tile TileGrassCenter 5 1
Tile TileGrassCenter 6 1
Tile TileGrassCenter 7 1
Tile TileGrassCenter 8 1
Tile TileGrassCenter 9 1
Tile TileGrassCenter 10 1
Tile TileGrassCenter 12 1
Tile TileGrassCenter 11 1
Tile TileGrassCenter 13 1
Tile TileGrassCenter 14 1
Tile TileGrassCenter 16 1
Tile TileGrassCenter 15 1
Tile TileGrassCenter 2 1
Tile TileGrassCenter 2 2
Tile TileGrassCenter 1 3
Tile TileGrassCenter 0 4
Tile TileGrassCenter 0 5
Tile TileGrassCenter 1 6
Tile TileGrassCenter 2 7
Tile TileGrassCenter 2 8
Tile TileGrassCenter 3 9
Tile TileGrassCenter -1 5
Tile TileGrassCenter -1 4
Tile TileGrassCenter -1 6
Tile TileGrassCenter 3 0
Tile TileGrassCenter 2 0
Tile TileGrassCenter 4 0
Tile TileGrassCenter 5 0
Tile TileGrassCenter 6 0
Tile TileGrassCenter 7 0
Tile TileGrassCenter 9 0
Tile TileGrassCenter 8 0
Tile TileGrassCenter 10 0
Tile TileGrassCenter 11 0
Tile TileGrassCenter 12 0
Tile TileGrassCenter 13 0
Tile TileGrassCenter 14 0
Tile TileGrassCenter 15 0
Tile TileGrassCenter 16 0
Tile TileGrassCenter 17 0
Tile TileGrassCenter 22 0
Tile TileGrassCenter 23 0
Tile TileGrassCenter 24 0
Tile TileGrassCenter 26 0
Tile TileGrassCenter 25 0
Tile TileGrassCenter 27 0
Tile TileGrassCenter 28 0
Tile TileGrassCenter 29 0
Tile TileGrassCenter 30 0
Tile TileGrassCenter 31 0
Tile TileGrassCenter 34 0
Tile TileGrassCenter 32 0
Tile TileGrassCenter 33 0
Tile TileGrassCenter 35 0
Tile TileGrassCenter 36 0
Tile TileGrassCenter 37 0
Tile TileGrassCenter 38 0
Tile TileGrassCenter 40 0
Tile TileGrassCenter 39 0
Tile TileGrassCenter 41 0
Tile TileGrassCenter 43 0
Tile TileGrassCenter 42 0
Tile TileGrassCenter 44 0
Tile TileGrassCenter 46 0
Tile TileGrassCenter 45 0
Tile TileGrassCenter 47 0
Tile TileGrassCenter 48 0
Tile TileGrassCenter 49 0
Tile TileGrassCenter 50 0
Tile TileGrassCenter 52 0
Tile TileGrassCenter 51 0
Tile TileGrassCenter 53 0
Tile TileGrassCenter 55 0
Tile TileGrassCenter 54 0
Tile TileGrassCenter 56 0
Tile TileGrassCenter 58 0
Tile TileGrassCenter 57 0
Tile TileGrassCenter 59 0
Tile TileGrassCenter 60 0
Tile TileGrassCenter 62 0
Tile TileGrassCenter 61 0
Tile TileGrassCenter 64 0
Tile TileGrassCenter 63 0
Tile TileGrassCenter 65 0
Tile TileGrassCenter 66 0
Tile TileGrassCenter 71 0
Tile TileGrassCenter 72 0
Tile TileGrassCenter 74 0
Tile TileGrassCenter 73 0
Tile TileGrassCenter 75 0
Tile TileGrassCenter 76 0
Tile TileGrassCenter 77 0
Tile TileGrassCenter 78 0
Tile TileGrassCenter 79 0
Tile TileGrassCenter 80 0
Tile TileGrassCenter 81 0
Tile TileGrassCenter 82 0
Tile TileGrassCenter 83 0
Tile TileGrassCenter 84 0
Tile TileGrassCenter 86 0
Tile TileGrassCenter 85 0
Tile TileGrassCenter 91 0
Tile TileGrassCenter 90 0
Tile TileGrassCenter 92 0
Tile TileGrassCenter 93 0
Tile TileGrassCenter 94 0
Tile TileGrassCenter 95 0
Tile TileGrassCenter 96 0
Tile TileGrassCenter 97 0
Tile TileGrassCenter 98 0
Tile TileGrassCenter 99 0
Tile TileGrassCenter 100 0
Tile TileGrassCenter 101 0
Tile TileGrassCenter 102 0
Tile TileGrassCenter 103 0
Tile TileGrassCenter 104 0
Tile TileGrassCenter 105 0
Tile TileGrassCenter 106 0
Tile TileGrassCenter 107 0
Tile TileGrassCenter 108 0
Tile TileGrassCenter 112 1
Tile TileGrassCenter 113 1
Tile TileGrassCenter 114 2
Tile TileGrassCenter 112 0
Tile TileGrassCenter 113 0
Tile TileGrassCenter 111 1
Tile TileGrassCenter 110 1
Tile TileGrassCenter 109 1
Tile TileGrassCenter 107 1
Tile TileGrassCenter 108 1
Tile TileGrassCenter 106 1
Tile TileGrassCenter 105 1
Tile TileGrassCenter 104 1
Tile TileGrassCenter 103 1
Tile TileGrassCenter 102 1
Tile TileGrassCenter 109 0
Tile TileGrassCenter 110 0
Tile TileGrassCenter 111 0
Tile TileGrassCenter 101 1
Tile TileGrassCenter 100 1
Tile TileGrassCenter 90 1
Tile TileGrassCenter 86 1
Tile TileGrassCenter 82 1
Tile TileGrassCenter 81 1
Tile TileGrassCenter 73 1
Tile TileGrassCenter 72 1
Tile TileGrassCenter 65 1
Tile TileGrassCenter 64 1
Tile TileGrassCenter 63 1
Tile TileGrassCenter 56 1
Tile TileGrassCenter 53 1
Tile TileGrassCenter 55 1
Tile TileGrassCenter 54 1
Tile TileGrassCenter 52 1
Tile TileGrassCenter 51 1
Tile TileGrassCenter 49 1
Tile TileGrassCenter 50 1
Tile TileGrassCenter 48 1
Tile TileGrassCenter 46 1
Tile TileGrassCenter 47 1
Tile TileGrassCenter 45 1
Tile TileGrassCenter 44 1
Tile TileGrassCenter 37 1
