Dark_Cave
Tutorial.ogg
Assets/Levels/2 - Green Fields.txt

Player 7 4 64 64 10 15 20 0.5 MELEE

Tile TileGrassCenter 11 8
Tile TileGrassCenter 9 8
Tile TileGrassCenter 10 8
Tile TileGrassCenter 8 8
Tile TileGrassCenter 7 8
Tile TileGrassCenter 6 8
Tile TileGrassCenter 5 8
Tile TileGrassCenter 4 8
Tile TileGrassCenter 4 7
Tile TileGrassCenter 3 7
Tile TileGrassCenter 2 5
Tile TileGrassCenter 3 6
Tile TileGrassCenter 3 5
Tile TileGrassCenter 2 6
Tile TileGrassCenter 3 4
Tile TileGrassCenter 4 4
Tile TileGrassCenter 4 3
Tile TileGrassCenter 5 2
Tile TileGrassCenter 4 2
Tile TileGrassCenter 5 1
Tile TileGrassCenter 6 0
Tile TileGrassCenter 6 1
Tile TileGrassCenter 7 1
Tile TileGrassCenter 7 0
Tile TileGrassCenter 5 0
Tile TileGrassCenter 3 1
Tile TileGrassCenter 4 1
Tile TileGrassCenter 4 0
Tile TileGrassCenter 3 0
Tile TileGrassCenter 0 0
Tile TileGrassCenter 0 1
Tile TileGrassCenter 1 1
Tile TileGrassCenter 1 0
Tile TileGrassCenter 2 0
Tile TileGrassCenter 2 1
Tile TileGrassCenter 3 2
Tile TileGrassCenter 3 3
Tile TileGrassCenter 2 2
Tile TileGrassCenter 2 3
Tile TileGrassCenter 1 2
Tile TileGrassCenter 0 2
Tile TileGrassCenter 0 3
Tile TileGrassCenter 1 3
Tile TileGrassCenter 2 4
Tile TileGrassCenter 1 4
Tile TileGrassCenter 0 4
Tile TileGrassCenter 1 5
Tile TileGrassCenter 0 5
Tile TileGrassCenter 0 6
Tile TileGrassCenter 1 6
Tile TileGrassCenter 1 7
Tile TileGrassCenter 2 7
Tile TileGrassCenter 0 7
Tile TileGrassCenter 0 8
Tile TileGrassCenter 1 8
Tile TileGrassCenter 2 8
Tile TileGrassCenter 3 8
Tile TileGrassCenter 0 9
Tile TileGrassCenter 1 10
Tile TileGrassCenter 0 10
Tile TileGrassCenter 1 9
Tile TileGrassCenter 2 9
Tile TileGrassCenter 2 10
Tile TileGrassCenter 3 10
Tile TileGrassCenter 3 9
Tile TileGrassCenter 4 10
Tile TileGrassCenter 4 9
Tile TileGrassCenter 5 10
Tile TileGrassCenter 5 9
Tile TileGrassCenter 6 10
Tile TileGrassCenter 6 9
Tile TileGrassCenter 7 10
Tile TileGrassCenter 7 9
Tile TileGrassCenter 8 10
Tile TileGrassCenter 8 9
Tile TileGrassCenter 9 10
Tile TileGrassCenter 9 9
Tile TileGrassCenter 10 10
Tile TileGrassCenter 10 9
Tile TileGrassCenter 11 10
Tile TileGrassCenter 11 9
Tile TileGrassCenter 12 10
Tile TileGrassCenter 12 9
Tile TileGrassCenter 12 8
Tile TileGrassCenter 8 0
Tile TileGrassCenter 9 0
Tile TileGrassCenter 10 0
Tile TileGrassCenter 11 0
Tile TileGrassCenter 12 0
Tile TileGrassCenter 14 0
Tile TileGrassCenter 15 0
Tile TileGrassCenter 16 0
Tile TileGrassCenter 13 0
Tile TileGrassCenter 17 0
Tile TileGrassCenter 18 0
Tile TileGrassCenter 19 0
Tile TileGrassCenter 13 9
Tile TileGrassCenter 13 10
Tile TileGrassCenter 15 10
Tile TileGrassCenter 15 9
Tile TileGrassCenter 14 9
Tile TileGrassCenter 14 10
Tile TileGrassCenter 16 10
Tile TileGrassCenter 16 9
Tile TileGrassCenter 17 10
Tile TileGrassCenter 18 9
Tile TileGrassCenter 18 10
Tile TileGrassCenter 19 10
Tile TileGrassCenter 19 9
Tile TileGrassCenter 17 9
Tile TileGrassCenter 8 1
Tile TileGrassCenter 20 0
Tile TileGrassCenter 21 0
Tile TileGrassCenter 22 0
Tile TileGrassCenter 24 -1
Tile TileGrassCenter 20 10
Tile TileGrassCenter 20 9
Tile TileGrassCenter 21 10
Tile TileGrassCenter 21 9
Tile TileGrassCenter 22 10
Tile TileGrassCenter 22 9
Tile TileGrassCenter 23 10
Tile TileGrassCenter 23 9
Tile TileGrassCenter 23 -1
Tile TileGrassCenter 22 -1
Tile TileGrassCenter 21 -1
Tile TileGrassCenter 20 -1
Tile TileGrassCenter 19 -1
Tile TileGrassCenter 18 -1
Tile TileGrassCenter 17 -1
Tile TileGrassCenter 16 -1
Tile TileGrassCenter 15 -1
Tile TileGrassCenter 14 -1
Tile TileGrassCenter 13 -1
Tile TileGrassCenter 12 -1
Tile TileGrassCenter 11 -1
Tile TileGrassCenter 10 -1
Tile TileGrassCenter 9 -1
Tile TileGrassCenter 8 -1
Tile TileGrassCenter 7 -1
Tile TileGrassCenter 5 -1
Tile TileGrassCenter 6 -1
Tile TileGrassCenter 3 -1
Tile TileGrassCenter 4 -1
Tile TileGrassCenter 2 -1
Tile TileGrassCenter 1 -1
Tile TileGrassCenter 0 -1
Tile TileGrassCenter 20 8
Tile TileGrassCenter 21 8
Tile TileGrassCenter 21 7
Tile TileGrassCenter 21 6
Tile TileGrassCenter 21 1
Tile TileGrassCenter 23 0
Tile TileGrassCenter 24 0
Tile TileGrassCenter 25 0
Tile TileGrassCenter 25 -1
Tile TileGrassCenter 26 0
Tile TileGrassCenter 26 -1
Tile TileGrassCenter 27 0
Tile TileGrassCenter 27 -1
Tile TileGrassCenter 28 0
Tile TileGrassCenter 28 -1
Tile TileGrassCenter 29 0
Tile TileGrassCenter 29 -1
Tile TileGrassCenter 30 0
Tile TileGrassCenter 30 -1
Tile TileGrassCenter 31 0
Tile TileGrassCenter 31 -1
Tile TileGrassCenter 32 0
Tile TileGrassCenter 32 -1
Tile TileGrassCenter 33 0
Tile TileGrassCenter 33 -1
Tile TileGrassCenter 34 0
Tile TileGrassCenter 34 -1
Tile TileGrassCenter 35 0
Tile TileGrassCenter 35 -1
Tile TileGrassCenter 37 -1
Tile TileGrassCenter 36 -1
Tile TileGrassCenter 37 0
Tile TileGrassCenter 36 0
Tile TileGrassCenter 22 1
Tile TileGrassCenter 23 1
Tile TileGrassCenter 24 1
Tile TileGrassCenter 26 1
Tile TileGrassCenter 25 1
Tile TileGrassCenter 27 1
Tile TileGrassCenter 29 1
Tile TileGrassCenter 30 2
Tile TileGrassCenter 28 1
Tile TileGrassCenter 31 1
Tile TileGrassCenter 31 2
Tile TileGrassCenter 32 2
Tile TileGrassCenter 32 1
Tile TileGrassCenter 30 1
Tile TileGrassCenter 34 4
Tile TileGrassCenter 33 3
Tile TileGrassCenter 34 3
Tile TileGrassCenter 33 2
Tile TileGrassCenter 33 1
Tile TileGrassCenter 34 1
Tile TileGrassCenter 34 2
Tile TileGrassCenter 35 1
Tile TileGrassCenter 35 2
Tile TileGrassCenter 35 3
Tile TileGrassCenter 35 4
Tile TileGrassCenter 36 5
Tile TileGrassCenter 36 4
Tile TileGrassCenter 36 2
Tile TileGrassCenter 36 1
Tile TileGrassCenter 36 3
Tile TileGrassCenter 24 9
Tile TileGrassCenter 25 10
Tile TileGrassCenter 24 10
Tile TileGrassCenter 26 10
Tile TileGrassCenter 27 10
Tile Box 21 2
Tile TileGrassCenter 5 3
Tile TileGrassCenter 6 3
Tile TileGrassCenter 6 2
Tile TileGrassCenter 7 3
Tile TileGrassCenter 8 3
Tile TileGrassCenter 8 2
Tile TileGrassCenter 7 2
Tile TileGrassCenter 9 2
Tile TileGrassCenter 9 3
Tile TileGrassCenter 10 2
Tile TileGrassCenter 11 2
Tile TileGrassCenter 10 3
Tile TileGrassCenter 11 1
Tile TileGrassCenter 12 1
Tile TileGrassCenter 10 1
Tile TileGrassCenter 9 1
Tile TileGrassCenter 13 1
Tile Box 21 5
Tile Box 21 4
Tile Box 21 3
Tile TileGrassCenter 27 2
Tile TileGrassCenter 28 2
Tile TileGrassCenter 29 2
Tile TileGrassCenter 29 3
Tile TileGrassCenter 30 3
Tile TileGrassCenter 32 3
Tile TileGrassCenter 31 3
Tile TileGrassCenter 31 4
Tile TileGrassCenter 30 4
Tile TileGrassCenter 32 4
Tile TileGrassCenter 33 4
Tile TileGrassCenter 35 5
Tile TileGrassCenter 31 5
Tile TileGrassCenter 33 5
Tile TileGrassCenter 34 5
Tile TileGrassCenter 32 5
Tile TileGrassCenter 22 11
Tile TileGrassCenter 23 11
Tile TileGrassCenter 24 11
Tile TileGrassCenter 26 11
Tile TileGrassCenter 27 11
Tile TileGrassCenter 25 11
Tile TileGrassCenter 21 11
Tile TileGrassCenter 20 11
Tile TileGrassCenter 19 11
Tile TileGrassCenter 18 11
Tile TileGrassCenter 17 11
Tile TileGrassCenter 16 11
Tile TileGrassCenter 15 11
Tile TileGrassCenter 13 11
Tile TileGrassCenter 12 11
Tile TileGrassCenter 14 11
Tile TileGrassCenter 11 11
Tile TileGrassCenter 10 11
Tile TileGrassCenter 8 11
Tile TileGrassCenter 9 11
Tile TileGrassCenter 7 11
Tile TileGrassCenter 6 11
Tile TileGrassCenter 5 11
Tile TileGrassCenter 3 11
Tile TileGrassCenter 4 11
Tile TileGrassCenter 2 11
Tile TileGrassCenter 1 11
Tile TileGrassCenter 28 12
Tile TileGrassCenter 27 12
Tile TileGrassCenter 26 12
Tile TileGrassCenter 29 12
Tile TileGrassCenter 29 11
Tile TileGrassCenter 28 11
Tile TileGrassCenter 30 12
Tile TileGrassCenter 30 13
